Sample_ID,Site,PFAS_type,Conc_ppb,Sample_type,Size_class
RB_w1_end,Russell Brook,PFTA,0,Water,NA
RB_w2_end,Russell Brook,PFBA,0,Water,NA
RB_w2_end,Russell Brook,PFPeA,0.0071,Water,NA
RB_w2_end,Russell Brook,PFBS,0.0092,Water,NA
RB_w2_end,Russell Brook,PFHxA,0.0064,Water,NA
RB_w2_end,Russell Brook,42FTS,0,Water,NA
RB_w2_end,Russell Brook,PFPeS,0.0037,Water,NA
RB_w2_end,Russell Brook,GenX,0,Water,NA
RB_w2_end,Russell Brook,ADONA,0,Water,NA
RB_w2_end,Russell Brook,PFHpA,0.0092,Water,NA
RB_w2_end,Russell Brook,PFHxS,0,Water,NA
RB_w2_end,Russell Brook,PFOA,0.0079,Water,NA
RB_w2_end,Russell Brook,PFHpS,0,Water,NA
RB_w2_end,Russell Brook,6:2FTS,0.0302,Water,NA
RB_w2_end,Russell Brook,9Cl-PF3ONS,0,Water,NA
RB_w2_end,Russell Brook,PFNA,0.0088,Water,NA
RB_w2_end,Russell Brook,PFOS,0.0139,Water,NA
RB_w2_end,Russell Brook,PFNS,0,Water,NA
RB_w2_end,Russell Brook,8:2FTS,0.0079,Water,NA
RB_w2_end,Russell Brook,PFDA,0,Water,NA
RB_w2_end,Russell Brook,NMeFOSAA,0,Water,NA
RB_w2_end,Russell Brook,PFOSA,0,Water,NA
RB_w2_end,Russell Brook,PFDS,0,Water,NA
RB_w2_end,Russell Brook,NEtFOSAA,0,Water,NA
RB_w2_end,Russell Brook,11-ClPF3OUdS,0,Water,NA
RB_w2_end,Russell Brook,PFUnA,0,Water,NA
RB_w2_end,Russell Brook,PFDoA,0,Water,NA
RB_w2_end,Russell Brook,PFTrDA,0,Water,NA
RB_w2_end,Russell Brook,PFTA,0,Water,NA
RB_w3_end,Russell Brook,PFBA,0,Water,NA
RB_w3_end,Russell Brook,PFPeA,0.0094,Water,NA
RB_w3_end,Russell Brook,PFBS,0.0109,Water,NA
RB_w3_end,Russell Brook,PFHxA,0.0081,Water,NA
RB_w3_end,Russell Brook,42FTS,0,Water,NA
RB_w3_end,Russell Brook,PFPeS,0.0038,Water,NA
RB_w3_end,Russell Brook,GenX,0,Water,NA
RB_w3_end,Russell Brook,ADONA,0,Water,NA
RB_w3_end,Russell Brook,PFHpA,0.0108,Water,NA
RB_w3_end,Russell Brook,PFHxS,0.0032,Water,NA
RB_w3_end,Russell Brook,PFOA,0.0104,Water,NA
RB_w3_end,Russell Brook,PFHpS,0,Water,NA
RB_w3_end,Russell Brook,6:2FTS,0.0407,Water,NA
RB_w3_end,Russell Brook,9Cl-PF3ONS,0,Water,NA
RB_w3_end,Russell Brook,PFNA,0.0141,Water,NA
RB_w3_end,Russell Brook,PFOS,0.0194,Water,NA
RB_w3_end,Russell Brook,PFNS,0,Water,NA
RB_w3_end,Russell Brook,8:2FTS,0.0076,Water,NA
RB_w3_end,Russell Brook,PFDA,0,Water,NA
RB_w3_end,Russell Brook,NMeFOSAA,0,Water,NA
RB_w3_end,Russell Brook,PFOSA,0,Water,NA
RB_w3_end,Russell Brook,PFDS,0,Water,NA
RB_w3_end,Russell Brook,NEtFOSAA,0,Water,NA
RB_w3_end,Russell Brook,11-ClPF3OUdS,0,Water,NA
RB_w3_end,Russell Brook,PFUnA,0,Water,NA
RB_w3_end,Russell Brook,PFDoA,0,Water,NA
RB_w3_end,Russell Brook,PFTrDA,0,Water,NA
RB_w3_end,Russell Brook,PFTA,0,Water,NA
HB_w1_end,Hop Brook,PFBA,0,Water,NA
HB_w1_end,Hop Brook,PFPeA,0,Water,NA
HB_w1_end,Hop Brook,PFBS,0.004,Water,NA
HB_w1_end,Hop Brook,PFHxA,0.0028,Water,NA
HB_w1_end,Hop Brook,42FTS,0,Water,NA
HB_w1_end,Hop Brook,PFPeS,0,Water,NA
HB_w1_end,Hop Brook,GenX,0,Water,NA
HB_w1_end,Hop Brook,ADONA,0,Water,NA
HB_w1_end,Hop Brook,PFHpA,0.0045,Water,NA
HB_w1_end,Hop Brook,PFHxS,0,Water,NA
HB_w1_end,Hop Brook,PFOA,0,Water,NA
HB_w1_end,Hop Brook,PFHpS,0,Water,NA
HB_w1_end,Hop Brook,6:2FTS,0,Water,NA
HB_w1_end,Hop Brook,9Cl-PF3ONS,0,Water,NA
HB_w1_end,Hop Brook,PFNA,0,Water,NA
HB_w1_end,Hop Brook,PFOS,0.0028,Water,NA
HB_w1_end,Hop Brook,PFNS,0,Water,NA
HB_w1_end,Hop Brook,8:2FTS,0,Water,NA
HB_w1_end,Hop Brook,PFDA,0,Water,NA
HB_w1_end,Hop Brook,NMeFOSAA,0,Water,NA
HB_w1_end,Hop Brook,PFOSA,0,Water,NA
HB_w1_end,Hop Brook,PFDS,0,Water,NA
HB_w1_end,Hop Brook,NEtFOSAA,0,Water,NA
HB_w1_end,Hop Brook,11-ClPF3OUdS,0,Water,NA
HB_w1_end,Hop Brook,PFUnA,0,Water,NA
